membership_number,order_number,status,total_amount,currency,ordered_at,paid_at,completed_at,metadata_json
M2025001,O2025001,completed,199.00,CNY,2026-01-01T10:15:00+08:00,2026-01-01T10:16:00+08:00,2026-01-05T14:30:00+08:00,"{""product_name"":""智能保温杯"",""received_at"":""2026-01-05T14:30:00+08:00"",""returnable"":true,""scenario"":""standard_received_12_days""}"
M2025002,O2025002,completed,399.00,CNY,2026-01-02T09:20:00+08:00,2026-01-02T09:22:00+08:00,2026-01-06T16:00:00+08:00,"{""product_name"":""人体工学键盘"",""received_at"":""2026-01-06T16:00:00+08:00"",""returnable"":true,""designated_free_return"":true,""scenario"":""gold_received_14_days""}"
M2025003,O2025003,completed,259.00,CNY,2026-01-01T11:10:00+08:00,2026-01-01T11:12:00+08:00,2026-01-03T10:00:00+08:00,"{""product_name"":""桌面收纳架"",""received_at"":""2026-01-03T10:00:00+08:00"",""returnable"":true,""scenario"":""silver_received_18_days""}"
M2025004,O2025004,completed,899.00,CNY,2025-11-11T20:08:00+08:00,2025-11-11T20:10:00+08:00,2025-11-20T15:20:00+08:00,"{""product_name"":""空气净化器"",""received_at"":""2025-11-20T15:20:00+08:00"",""returnable"":true,""campaign_tags"":[""double_11""],""scenario"":""double_11_received_25_days""}"
M2025005,O2025005,shipped,159.00,CNY,2026-01-18T08:30:00+08:00,2026-01-18T08:31:00+08:00,,"{""product_name"":""无线鼠标"",""returnable"":true,""shipping_status"":""in_transit"",""scenario"":""not_received""}"
M2025006,O2025006,refunded,529.00,CNY,2025-12-20T13:45:00+08:00,2025-12-20T13:46:00+08:00,2025-12-25T12:30:00+08:00,"{""product_name"":""蓝牙耳机"",""received_at"":""2025-12-25T12:30:00+08:00"",""returnable"":true,""scenario"":""refund_completed_duplicate_attempt""}"
M2025007,O2025007,completed,699.00,CNY,2026-01-01T10:30:00+08:00,2026-01-01T10:32:00+08:00,2026-01-05T11:00:00+08:00,"{""product_name"":""显示器支架"",""received_at"":""2026-01-05T11:00:00+08:00"",""returnable"":true,""scenario"":""gold_account_suspended""}"
M2025008,O2025008,shipped,329.00,CNY,2026-01-10T09:00:00+08:00,2026-01-10T09:01:00+08:00,,"{""product_name"":""旅行背包"",""returnable"":true,""region_type"":""remote"",""shipping_status"":""delayed"",""estimated_delay_days"":5,""scenario"":""remote_delivery_delay""}"
M2025009,O2025009,completed,89.00,CNY,2026-01-03T09:10:00+08:00,2026-01-03T09:11:00+08:00,2026-01-06T10:00:00+08:00,"{""product_name"":""数据线"",""received_at"":""2026-01-06T10:00:00+08:00"",""returnable"":true}"
M2025010,O2025010,completed,129.00,CNY,2026-01-04T14:20:00+08:00,2026-01-04T14:22:00+08:00,2026-01-07T14:00:00+08:00,"{""product_name"":""手机支架"",""received_at"":""2026-01-07T14:00:00+08:00"",""returnable"":true}"
M2025011,O2025011,completed,1099.00,CNY,2026-01-05T11:00:00+08:00,2026-01-05T11:03:00+08:00,2026-01-08T16:20:00+08:00,"{""product_name"":""机械键盘"",""received_at"":""2026-01-08T16:20:00+08:00"",""returnable"":true}"
M2025012,O2025012,completed,699.00,CNY,2026-01-06T12:40:00+08:00,2026-01-06T12:42:00+08:00,2026-01-09T09:30:00+08:00,"{""product_name"":""降噪耳机"",""received_at"":""2026-01-09T09:30:00+08:00"",""returnable"":true}"
M2025013,O2025013,completed,219.00,CNY,2026-01-07T16:10:00+08:00,2026-01-07T16:11:00+08:00,2026-01-10T13:00:00+08:00,"{""product_name"":""阅读灯"",""received_at"":""2026-01-10T13:00:00+08:00"",""returnable"":true}"
M2025014,O2025014,completed,349.00,CNY,2026-01-08T10:05:00+08:00,2026-01-08T10:07:00+08:00,2026-01-11T16:40:00+08:00,"{""product_name"":""护眼台灯"",""received_at"":""2026-01-11T16:40:00+08:00"",""returnable"":true}"
M2025015,O2025015,completed,459.00,CNY,2026-01-09T13:30:00+08:00,2026-01-09T13:31:00+08:00,2026-01-12T11:15:00+08:00,"{""product_name"":""扫地机器人配件"",""received_at"":""2026-01-12T11:15:00+08:00"",""returnable"":true}"
M2025016,O2025016,completed,1288.00,CNY,2026-01-10T15:45:00+08:00,2026-01-10T15:47:00+08:00,2026-01-13T17:00:00+08:00,"{""product_name"":""智能手表"",""received_at"":""2026-01-13T17:00:00+08:00"",""returnable"":true}"
